level,scname,socrname,kod_t_st,
Character(5,0),Character(10,0),Character(29,0),Character(3,0),
NOT NULL,NOT NULL,NOT NULL,NOT NULL,
4,аал,Аал,401,
5,аал,Аал,934,
5,а/я,Абонентский ящик,572,
4,автодорога,Автодорога,445,
1,Аобл,Автономная область,102,
1,АО,Автономный округ,101,
2,АО,Автономный округ,205,
5,аллея,Аллея,501,
4,арбан,Арбан,440,
5,арбан,Арбан,936,
4,аул,Аул,402,
5,аул,Аул,937,
5,балка,Балка,581,
5,берег,Берег,901,
5,бугор,Бугор,576,
5,б-р,Бульвар,502,
5,вал,Вал,568,
5,взв.,Взвоз,591,
6,влд.,Владение,602,
2,вн.тер. г.,Внутригородская территория,207,
3,волость,Волость,310,
4,волость,Волость,403,
5,въезд,Въезд,503,
4,высел,Выселки(ок),404,
5,гск,Гаражно-строительный кооп.,563,
1,г,Город,103,
3,г,Город,301,
4,г,Город,405,
1,г.ф.з.,Город федерального значения,112,
4,г-к,Городок,436,
5,городок,Городок,535,
2,г.о.,Городской округ,208,
4,гп,Городской поселок,449,
5,днп,Дачное неком-е партнерство,587,
3,дп,Дачный поселок,305,
4,дп,Дачный поселок,407,
4,дп.,Дачный поселок,464,
4,д,Деревня,406,
5,д,Деревня,536,
6,ДОМ,Дом,601,
6,двлд.,Домовладение,604,
5,дор,Дорога,504,
4,ж/д_будка,Железнодорожная будка,408,
5,ж/д_будка,Железнодорожная будка,537,
4,ж/д в-ка,Железнодорожная ветка,457,
4,ж/д_казарм,Железнодорожная казарма,409,
5,ж/д_казарм,Железнодорожная казарма,538,
4,ж/д_платф,Железнодорожная платформа,338,
5,ж/д_платф,Железнодорожная платформа,559,
4,ж/д пл-ка,Железнодорожная площадка,452,
4,ж/д_ст,Железнодорожная станция,413,
5,ж/д_ст,Железнодорожная станция,542,
4,ж/д бл-ст,Железнодорожный блокпост,456,
4,ж/д к-т,Железнодорожный комбинат,459,
4,ж/д о.п.,Железнодорожный остановочный,461,
4,ж/д_пост,Железнодорожный пост,411,
5,ж/д_пост,Железнодорожный пост,540,
4,ж/д п.п.,Железнодорожный путевой пост,460,
4,ж/д_рзд,Железнодорожный разъезд,412,
5,ж/д_рзд,Железнодорожный разъезд,541,
5,жт,Животноводческая точка,505,
4,жилзона,Жилая зона,447,
4,жилрайон,Жилой район,446,
5,ж/р,Жилой район,903,
5,заезд,Заезд,506,
4,заимка,Заимка,414,
6,зд.,Здание,605,
4,зим.,Зимовье,462,
5,зона,Зона,577,
4,казарма,Казарма,415,
5,казарма,Казарма,543,
4,кв-л,Квартал,439,
5,кв-л,Квартал,507,
5,км,Километр,508,
4,киш.,Кишлак,454,
5,кольцо,Кольцо,509,
4,кордон,Кордон,444,
6,к.,Корпус,606,
5,коса,Коса,567,
6,кот.,Котельная,607,
1,край,Край,104,
3,кп,Курортный поселок,304,
4,кп,Курортный поселок,416,
4,лпх,Леспромхоз,442,
5,линия,Линия,510,
5,мгстр.,Магистраль,597,
3,массив,Массив,316,
4,массив,Массив,448,
5,маяк,Маяк,585,
4,м,Местечко,417,
5,м,Местечко,544,
5,местность,Местность,580,
5,месторожд.,Месторождение,988,
4,мкр,Микрорайон,418,
5,мкр,Микрорайон,545,
5,мост,Мост,570,
2,м.р-н,Муниципальный район,209,
5,наб,Набережная,511,
4,нп,Населенный пункт,419,
4,нп.,Населенный пункт,463,
5,нп,Населенный пункт,546,
5,н/п,Некоммерческое партнерство,588,
1,обл,Область,105,
6,ОНС,Объект незав. строительства,608,
